Usuario,Comentarios
Ruganko,685
RaccoonD,531
ReadySteadyGoA,372
riiott2,312
Paltamachine,297
nekoql,289
Fixion01,288
NiaMPL,241
Harkoncito,234
ozzraven,228
Not_Kangrejo,227
Sheppardino,200
gabrielburric,196
Lo_Innombrable,196
inviernoruso,193
coringas,190
polloillo,184
Lopr1621,180
A_chinche_cinetico,174
zenkeep,170
Encrypted-Doggo,168
Grim0508,160
JPVita,154
Shingocrates,153
macana144,149
SaintTomasPepe,147
xascoberto,138
Educational-Maximum3,138
proletarianpanzer,136
ElweonIsekai,134
Larva_Astral,134
Hanneman_213,132
Shot-Statement-6772,131
Bman1465,131
sexooooooooooo__,130
AnyResponsibility2,124
ctuna89,120
sin_ese,115
zurizuricata,114
DonPichulas34,113
Otaninn,110
Bl4nkface,101
luchoventas,100
FeanDoe,98
ULTZwWfD,96
fetuccini_slayer,94
Chiefrockacl,91
Andi_Jones,91
Mod4rchive,87
Dev0Null0,86
BeeMovieApologist,84
PuduBot,84
PlebiscitoBot,83
EstablishmentNo5132,82
euhna,79
brown-guitar,79
dkease,78
loica_enojada,75
nomecreai,73
Imbecilgracioso,73
Gatosoo,70
comoagarretantovuelo,67
Tierrrez,67
naxomaster,67
CloudyTime,67
Milcaos,62
nevados_de_chillan,62
ph1406,61
Soulless911,60
matydragon_20,60
bob_patino,59
notquiteteemo,58
WhiteMeovv,57
blindmodz,56
Tigre_Obeso,55
soelita,55
MariaJoseBlanchester,55
maddowizardoo,54
OozingPositron,52
MrTonino,51
Zetsubou__666,51
malafar,49
comadre_lola,49
Zonru,48
Kleint_Aristotelicus,47
IUpperDeckedMyself,47
Rooftop_marraqueta,44
FullSatisfaction6359,41
xzinik,40
Blubari,39
Agente-Libre,39
slaucsap,39
LordVelaryon,39
shap2,38
Choice__Technician,37
Miguelonchox,35
Reyske,34
that_lonely_bi,34
Johnny1392,34
Potential_Peanut3907,34
sedapemu,34
No_Shake7800,33
laquecuelga,33
TryHarderino,33
79BEEVL,32
JaqenStark,32
Antares_de_la_Luz,32
funeralballoonsv2,31
NegociacionColectiva,31
Lain_u,31
ConsistentPie4962,31
corderituwu,30
iloveseries_,30
sfl_,29
Sopaipisaurio,29
Kaminoan,29
atunmayo,29
bizarref00l,29
shakaritahermandad,28
Putotunel,27
PanFrito,26
97_mechanix,26
Patoqta,26
dgo792,25
NinjalaS1Player,25
All-Your-Base,25
UniqueCommission8571,25
DiegoIRR,25
anothergoodsong,24
pitter_patterclock,24
aprenderanadar,24
keinRennrad,24
vvvpqsw,24
rChileRandomBot,23
felagaund,23
StrikeKey101,23
Acrobatic-Artist9730,23
Lordpeos,23
darthdeckard,22
masfruta,22
WhoKnowsWhatMatters,22
Nachho,22
mayocaserarica,22
Gustaven-hungan,21
MinaDawngate,21
cookie_addicted,21
FLB1,21
Dismal_Comparison122,21
tacnobac,20
pera1613,20
MutedMime05,20
EducationalBoat5785,20
bolmer,20
mr_homerone,20
LapizPastel,20
Joze525,19
NoisiN,19
LordOrlouge,19
Kiwiofhell,18
pierdesporfumar,18
KidTFT,18
camilosk8er,18
AxelLAG,18
ostardo,18
Mr-Black_,18
GeorgieBoyAdvance,18
rociobelv,18
leviatanCL,18
kurob4,17
gatoshico,17
mimomentohallegado,17
_supernova-,17
Anon_interesante,17
CMuenzen,17
Perritoconcorbata,17
Dogo-cat,16
Neko_Shogun,16
yaiay,15
viruta2021,15
punker25,15
i-love-cripi,15
BufferUnderpants,15
CLobo,15
cubesato,15
6d656c6c6f,14
chalecomono,14
chosen_carrot,14
ZIIcvy,14
leamd,14
kontemplador,14
mahinostroza,14
FinchoDS,14
Mrquest_10293847,14
StinkinKevin,14
fenixbalol,13
andyvc97,13
OpportunityEast7774,13
jamr1015,13
0x00cl,13
aChileanDude,13
Nairiy,13
nosecosercosplay,13
Stanowu,12
InfinityRoundCycle,12
chiledoesntexist,12
Tarbolinx,12
Mari_Chiweu,12
HirumaBSK,12
moreAidsplease42,12
KingFenrir,12
allhailpalta,12
makzk,12
HarinaCollico,12
HombreContrafactual,12
TMCamilo,11
blackbunny09,11
Fun-Moose-4676,11
ctccl,11
Contertulio,11
DragonPapaFrita,11
ProximoPresidente,11
Tanqueavapor,11
JVicu,11
AlexandraProudhon,11
Adventurous-Cup5095,11
Ambiguedades,11
serastronomical,11
gatip0sa,11
chkdsk_7,10
3v1lrob07,10
ph21,10
NiCorvus,10
Euclid_Class_Object,10
Heoro-Mazgraev,10
RandyCoxburn,10
extremx23,10
nofuture23234,10
Txstage,10
tazonconcafe,10
60nz,10
tatemblando,10
Ciscner,10
sebakjal,10
softest-alpaca,10
Giuseppe_Stallini,9
ShatteredGold,9
tri__dimensional,9
Gambler81AK,9
BeWolk,9
PeriRana,9
bopboph,9
_donnadie_,9
Pesebreqlo,9
JuzoMegure,9
Juanin_elPinfloi,9
Towrp,9
ivanmsc,9
Ferchuux23,9
elvenjamon,9
allkingsaredead,9
nadaparacomer,9
Opposite-Shoulder260,9
Rakzien,9
lord31173,9
Aggressive-Act3220,9
Cmcont,8
MoabChile,8
Ktion,8
International_Ad7264,8
mequierocortarlatula,8
Didokong,8
kuroviejo,8
fukami-rose,8
AtunEnLomitos,8
Inspired_Guru,8
Glittering_Pumpkin24,8
SnooCauliflowers7746,8
Kapo_de_Kiwiiii,8
Franreyesalcain,8
Ludioj,8
FuckGCL,8
Nemesis2299,8
leongranizo,8
Quetetris,8
Maite25,8
nashoramosxd,7
ElSydBarrett,7
International-Tree19,7
Tecnocazuela,7
skibo_,7
lucyferzyr,7
Gabriel_AEROSPACE,7
Low_Second7050,7
Radratrad,7
cammilo96,7
ReverseCaptioningBot,7
soytuneopet,7
Horseypunch,7
cogollento,7
RNGesus_cultist20,7
kingdraven,7
UnseenObserver,7
Xorcust,7
edvo23,6
Sealra_,6
DryTrippa,6
musicatito,6
Ovejilla,6
MercyMain04,6
pipexclon,6
Adolema,6
realidadg,6
Sirenitururu,6
CepilloDental,6
migda1999,6
zimmerxp,6
varnor1,6
weltschmerz____,6
Charlotte_Vincent,6
kaybedumbaf,6
TremendoAfro,6
coolnicknamehere,6
prffg57,6
RockyHeart,6
paposky,6
Accomplished-Job-604,6
FinalFooWalk,6
Lihnista,6
N0t_Undead,6
Cl_z0mb1e,6
Fidozip,6
Pretty_Sugar_1243,6
Snicky_cos,6
MCTripio,6
una__paloma,6
traegario,6
Apprehensive-Shop471,5
RaulFigueroa_bot,5
jipjapjup,5
NotCompleto,5
vicbingus,5
Cucho-Lambretta,5
FatFingerHelperBot,5
Opazo-cl,5
Spirited_Profile8571,5
idontwantto123,5
rociodevil,5
CandeSGF,5
MB_CC_Manx,5
Sea_Comparison3089,5
HolyMollywacamole,5
marraquetaconpebre,5
quierouncigarro,5
kardashev,5
ElFlaco2,5
alaperse,5
HansWolken,5
Plane-Sheepherder571,5
Macnoon,5
friedeggforbreakfast,5
Anti_Progres,5
heroeNK25,5
cafeengrano,4
_Delain_,4
Mischungg,4
liceo-municipal,4
undergroundbynature,4
Finalmee,4
ElevenCupsOfTea,4
A_espa,4
NNorAl,4
PickadillosJones,4
Silent-Ad-4434,4
