Usuario,Comentarios
GalletonJunaeb,487
Fixion01,394
Lo_Innombrable,386
estaweamesupera,274
ozzraven,264
Gustaven-hungan,258
Lopr1621,255
nekoql,237
inviernoruso,232
CuantaSerendipia,226
riiott2,207
Harkoncito,206
ReadySteadyGoA,202
Paltamachine,188
Larva_Astral,188
RaccoonD,179
sin_ese,162
zenkeep,158
xzinik,150
notquiteteemo,133
Kiwiofhell,132
Shot-Statement-6772,132
Bl4nkface,131
mayocaserarica,130
SaintTomasPepe,128
macana144,126
Agente-Libre,121
polloillo,121
A_chinche_cinetico,112
blindmodz,112
Zonru,109
xascoberto,101
matydragon_20,101
FeanDoe,100
Grim0508,97
Hanneman_213,91
proletarianpanzer,87
AnyResponsibility2,86
ctuna89,83
zurizuricata,79
Encrypted-Doggo,79
fetuccini_slayer,77
loica_enojada,75
nevados_de_chillan,75
BeeMovieApologist,74
leviatanCL,73
maddowizardoo,73
Rooftop_marraqueta,73
Shingocrates,72
bolmer,69
DonPichulas34,66
MariaJoseBlanchester,66
FinchoDS,59
Not_Kangrejo,58
Sopaipisaurio,57
Gatosoo,56
Dismal_Comparison122,56
luchoventas,55
naxomaster,54
OozingPositron,53
Tierrrez,52
Choice__Technician,50
dkease,50
Sheppardino,50
Kleint_Aristotelicus,50
KidTFT,48
IUpperDeckedMyself,48
atunmayo,47
MinaDawngate,47
HombreContrafactual,46
MrTonino,46
viruta2021,45
Educational-Maximum3,45
Dev0Null0,45
97_mechanix,45
Milcaos,45
vvvpqsw,44
NiaMPL,42
Chiefrockacl,42
Lucky_random_ness,42
dgo792,41
keinRennrad,40
All-Your-Base,40
aChileanDude,40
Patoqta,40
sfl_,39
coringas,39
peaceful_oasis,39
Antares_de_la_Luz,38
JPVita,38
slaucsap,37
gabrielburric,37
Nachho,36
aprenderanadar,36
Laki-tu,35
Charlotte_Vincent,35
WhiteMeovv,35
una__paloma,35
RandyCoxburn,33
Tigre_Obeso,32
brown-guitar,32
DalasParker,32
NiaKollon,32
Blubari,31
Miguelonchox,31
bob_patino,31
Putotunel,30
Cl_z0mb1e,30
cubesato,29
javier_aeoa,29
ph1406,28
Mrquest_10293847,28
comadre_lola,28
sexooooooooooo__,28
corderituwu,27
chosen_carrot,27
60nz,27
FLB1,27
malafar,27
euhna,27
paulipeach,27
Potential_Peanut3907,26
Pesebreqlo,25
_supernova-,25
ElweonIsekai,25
that_lonely_bi,25
NinjalaS1Player,25
Otaninn,25
ZIIcvy,24
tacnobac,24
6d656c6c6f,24
ULTZwWfD,24
ElFlaco2,24
Alfajorero,23
Zetsubou__666,23
MutedMime05,23
AxelLAG,22
nomecreai,22
79BEEVL,22
Cucho-Lambretta,22
RoIgn92,21
Lordpeos,21
NotCompleto,21
Ruganko,21
pitter_patterclock,20
Acrobatic-Artist9730,20
DiegoIRR,20
pera1613,20
fukami-rose,20
StrikeKey101,20
Anti_Progres,20
XellosWizz,20
raakkvkov,20
PeriRana,19
ShatteredGold,19
MellaDios,19
AtunEnLomitos,18
PabloHonorato,18
blackbunny09,18
FullSatisfaction6359,18
fenixbalol,17
GinTonicWithCucumber,17
comoaprender,17
Gabriel_AEROSPACE,17
Soulless911,17
sedapemu,16
Talgoporta,16
jipjapjup,16
tazonconcafe,16
unatarde,16
pierdesporfumar,16
Opazo-cl,16
BufferUnderpants,16
kurob4,16
truth_sentinell,16
StrangeSemiticLatin2,16
ichox,16
quierouncigarro,16
nashoramosxd,16
luxrayo,16
Suffocated-Soul-,16
shap2,16
chiledoesntexist,15
NoMeEncuentro,15
Ovejilla,15
shakaritahermandad,15
pipexclon,15
ProximoPresidente,15
aleliu,15
Ciscner,14
