Usuario,Comentarios
Encrypted-Doggo,774
RaccoonD,681
Cahums,433
riiott2,405
Lo_Innombrable,328
nekoql,320
sexooooooooooo__,306
Lopr1621,301
Grim0508,291
zurizuricata,234
Sheppardino,224
Shot-Statement-6772,223
AnyResponsibility2,216
inviernoruso,210
polloillo,206
Paltamachine,202
Harkoncito,195
Ruganko,194
NiaMPL,192
gabrielburric,192
ULTZwWfD,189
JPVita,181
proletarianpanzer,175
Educational-Maximum3,166
EstablishmentNo5132,161
zenkeep,161
Fixion01,156
sin_ese,144
coringas,142
Agente-Libre,139
Chiefrockacl,135
Twentyone_ic,133
Andi_Jones,131
A_chinche_cinetico,131
shap2,130
Putotunel,126
FeanDoe,125
Shingocrates,111
BeeMovieApologist,108
ElweonIsekai,108
macana144,107
naxomaster,106
Bman1465,103
Hanneman_213,103
Otaninn,102
ReadySteadyGoA,102
notquiteteemo,101
ctuna89,100
SaintTomasPepe,99
DonPichulas34,98
NinjalaS1Player,98
Bl4nkface,98
xascoberto,97
Milcaos,96
KangrejoMan,93
xzinik,92
kaybedumbaf,88
funeralballoonsv2,80
soelita,76
Gatosoo,76
OozingPositron,75
emp_sisterfister,72
luchoventas,70
maddowizardoo,68
mayocaserarica,65
nevados_de_chillan,63
dkease,63
malafar,58
sedapemu,55
Tierrrez,54
IUpperDeckedMyself,51
fetuccini_slayer,49
ph1406,48
Gustaven-hungan,45
nashoramosxd,45
blindmodz,45
bolmer,44
PanFrito,43
FinchoDS,42
iloveseries_,41
Larva_Astral,40
Opazo-cl,40
JesusLovesAvocado,39
comoagarretantovuelo,39
loica_enojada,38
bob_patino,38
Zonru,38
tazonconcafe,37
viruta2021,37
matydragon_20,37
StrangeSemiticLatin2,37
nofuture23234,36
shakaritahermandad,35
JaqenStark,34
StrikeKey101,34
WhiteMeovv,33
Antares_de_la_Luz,33
Nairiy,33
Mod4rchive,33
Gabriel_AEROSPACE,33
masfruta,32
97_mechanix,32
RandyCoxburn,31
MariaJoseBlanchester,31
Patoqta,30
brown-guitar,30
Zetsubou__666,29
ozzraven,29
Radratrad,29
guillermotor,29
Not_Kangrejo,29
rChileRandomBot,28
dgo792,28
MinaDawngate,28
PuduBot,28
leamd,27
VomitingCumPhD,27
Contertulio,27
LordOrlouge,26
cafeengrano,26
leviatanCL,26
MrTonino,26
kurob4,25
NotCompleto,25
aprenderanadar,25
corderituwu,24
aChileanDude,24
mahinostroza,24
Inspired_Guru,24
ProximoPresidente,23
Tanqueavapor,23
leongranizo,23
Turbulent-Shame-85,23
blackbunny09,22
ElSobe,22
pitter_patterclock,22
slaucsap,22
chosen_carrot,22
Mrquest_10293847,21
Acrobatic-Artist9730,21
comadre_lola,21
Miguelonchox,20
Kapo_de_Kiwiiii,20
BufferUnderpants,20
sfl_,19
Razorlines,19
All-Your-Base,19
Choice__Technician,19
Reyske,19
pera1613,19
Johnny1392,18
coolnicknamehere,18
BrocoLee,18
extremx23,18
Blubari,17
Kleint_Aristotelicus,17
Pesebreqlo,17
kardashev,17
Giorno-kun,17
ElSydBarrett,17
6d656c6c6f,16
gatoshico,16
ph21,16
chalecomono,16
Ovejilla,16
X-Grunger,16
anothergoodsong,16
laquecuelga,15
MutedMime05,15
Ferchuux23,15
TMCamilo,14
that_lonely_bi,14
darthdeckard,14
Kaminoan,14
Euclid_Class_Object,14
Talgoporta,14
LordVelaryon,14
moreAidsplease42,13
i-love-cripi,13
ctccl,13
Soulless911,13
pierdesporfumar,13
Fun-Moose-4676,13
Edgefish,13
Rooftop_marraqueta,13
Nemesis2299,13
UniqueCommission8571,13
Mr-Black_,13
NegociacionColectiva,13
Sopaipisaurio,13
RNGesus_cultist20,12
euhna,12
quierouncigarro,12
OpportunityEast7774,12
FLB1,12
Accomplished-Job-604,12
Juanin_elPinfloi,11
Giuseppe_Stallini,11
Potential_Peanut3907,11
Cmcont,11
ConsciousPain9,11
camilincamilero,11
Comfortable-Skill948,11
KingFenrir,11
Josema94,11
Nachho,11
felagaund,11
Charlotte_Vincent,11
XJpablo,11
Dogo-cat,11
Apart-Competition487,11
Anon_interesante,11
Your321,11
fukami-rose,10
StatisticianLivid555,10
Stanowu,10
MellaDios,10
Txstage,10
_supernova-,10
Lain_u,10
NoNamePK,10
Manomana-cl,10
Neither-Raise,9
DieCastle,9
terba123,9
GinTonicWithCucumber,9
Glittering_Pumpkin24,9
Sopapiglobo_ng,9
InfinityRoundCycle,9
0x00cl,9
JKrand,9
Gonpachiro-,9
Hnk-Kenshiro,9
varnor1,9
yaiay,9
NoisiN,9
FullSatisfaction6359,9
Temeos23,9
hombrx,9
Mobile-Breadfruit-57,9
matmena,8
MoabChile,8
atunmayo,8
chkdsk_7,8
tri__dimensional,8
pipexclon,8
60nz,8
TremendoAfro,8
kingdraven,8
Ktion,8
Adventurous-Cup5095,8
Mr_Ganger,8
elvenjamon,8
kontemplador,8
ah-squalo,8
Scaragoth,8
Tigre_Obeso,8
daniloonie,8
Puzzleheaded_Tutor_1,8
Laki-tu,8
ostardo,8
weltschmerz____,8
girasolarcoiris,8
papuanuevaguinea,7
Ambiguedades,7
Eiol01,7
nekonekonomi,7
StinkinKevin,7
CMuenzen,7
Goltana,7
LapizPastel,7
RaulFigueroa_bot,7
mr_homerone,7
ZIIcvy,7
noff01,7
sg_pimienta,7
Joze525,7
eLeneme,7
thealterlion,7
chiledoesntexist,7
Fantastic_Salary_349,7
79BEEVL,7
Sirenitururu,7
cafe_filtrado,7
HombreContrafactual,7
Ciscner,7
No_Shake7800,7
ConsistentPie4962,7
Ludioj,7
Tecnocazuela,6
ElFlaco2,6
riczan,6
VitoDeLarge,6
jamr1015,6
BeWolk,6
HolyMollywacamole,6
Sealra_,6
ferando855,6
blake-D29cl,6
leche-dsps-cereal,6
PeriRana,6
skancerous,6
Gambler81AK,6
PickadillosJones,6
friedeggforbreakfast,6
Mari_Chiweu,6
PabloHonorato,6
Zero_to_the_left,6
ElevenCupsOfTea,6
allkingsaredead,6
spirotetramat2,6
GeorgieBoyAdvance,6
hamsrat,6
renewedanarchist,6
Kambrica,6
makimie,6
Permanent__Waves,5
Low_Second7050,5
HarinaCollico,5
abeja-maligna,5
kameluca,5
NNorAl,5
skzoholic,5
TryHarderino,5
esplasmosico51,5
camilosk8er,5
Shalashqska,5
MB_CC_Manx,5
Carlangas3,5
OptimalDefinition598,5
CreazySapete,5
One-Box8025,5
tatemblando,5
mequierocortarlatula,5
Plane-Sheepherder571,5
JuanjiSempai,5
Macnoon,5
Peroroncino-sama,5
ldmarz,5
bel3n_r,5
PaltaDoctor,5
ChacareroSinAji,5
Rilows,5
WhiteMapache,5
leblonisbestdog,5
ShatteredGold,5
AtunEnLomitos,4
matislash,4
Pilotillog3,4
javier_aeoa,4
